"Step","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MIN","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MAX"
"4395","-0.17868167161941528","-0.17868167161941528","-0.17868167161941528"
"4419","-0.17749814689159393","-0.17749814689159393","-0.17749814689159393"
"4443","-0.1773672103881836","-0.1773672103881836","-0.1773672103881836"
"4467","-0.17591725289821625","-0.17591725289821625","-0.17591725289821625"
"4491","-0.17628060281276703","-0.17628060281276703","-0.17628060281276703"
"4515","-0.17613142728805542","-0.17613142728805542","-0.17613142728805542"
"4539","-0.17586123943328857","-0.17586123943328857","-0.17586123943328857"
"4563","-0.176205113530159","-0.176205113530159","-0.176205113530159"
"4587","-0.1760597676038742","-0.1760597676038742","-0.1760597676038742"
"4611","-0.17552953958511353","-0.17552953958511353","-0.17552953958511353"
"4635","-0.17692171037197113","-0.17692171037197113","-0.17692171037197113"
"4659","-0.17725270986557007","-0.17725270986557007","-0.17725270986557007"
"4683","-0.1784169226884842","-0.1784169226884842","-0.1784169226884842"
"4707","-0.17795518040657043","-0.17795518040657043","-0.17795518040657043"
"4731","-0.18010622262954712","-0.18010622262954712","-0.18010622262954712"
"4755","-0.17928922176361084","-0.17928922176361084","-0.17928922176361084"
"4779","-0.1789417564868927","-0.1789417564868927","-0.1789417564868927"
"4803","-0.17933356761932373","-0.17933356761932373","-0.17933356761932373"
"4827","-0.18119435012340546","-0.18119435012340546","-0.18119435012340546"
"4851","-0.17849107086658478","-0.17849107086658478","-0.17849107086658478"
"4875","-0.1784512847661972","-0.1784512847661972","-0.1784512847661972"
"4899","-0.17848657071590424","-0.17848657071590424","-0.17848657071590424"
"4923","-0.17830334603786469","-0.17830334603786469","-0.17830334603786469"
"4947","-0.17683131992816925","-0.17683131992816925","-0.17683131992816925"
"4971","-0.178429514169693","-0.178429514169693","-0.178429514169693"
"4995","-0.18077987432479858","-0.18077987432479858","-0.18077987432479858"
"5019","-0.18096230924129486","-0.18096230924129486","-0.18096230924129486"
"5043","-0.18102970719337463","-0.18102970719337463","-0.18102970719337463"
"5067","-0.18201054632663727","-0.18201054632663727","-0.18201054632663727"
"5091","-0.18112976849079132","-0.18112976849079132","-0.18112976849079132"
"5115","-0.18209370970726013","-0.18209370970726013","-0.18209370970726013"
"5139","-0.18290579319000244","-0.18290579319000244","-0.18290579319000244"
"5163","-0.18330490589141846","-0.18330490589141846","-0.18330490589141846"
"5187","-0.17885330319404602","-0.17885330319404602","-0.17885330319404602"
"5211","-0.17593787610530853","-0.17593787610530853","-0.17593787610530853"
"5235","-0.17650845646858215","-0.17650845646858215","-0.17650845646858215"
"5259","-0.17979294061660767","-0.17979294061660767","-0.17979294061660767"
"5283","-0.18150563538074493","-0.18150563538074493","-0.18150563538074493"
"5307","-0.1810341626405716","-0.1810341626405716","-0.1810341626405716"
"5331","-0.18107308447360992","-0.18107308447360992","-0.18107308447360992"
"5355","-0.18277062475681305","-0.18277062475681305","-0.18277062475681305"
"5379","-0.18230758607387543","-0.18230758607387543","-0.18230758607387543"
"5403","-0.1811726838350296","-0.1811726838350296","-0.1811726838350296"
"5427","-0.18135575950145721","-0.18135575950145721","-0.18135575950145721"
"5451","-0.1829020231962204","-0.1829020231962204","-0.1829020231962204"
"5475","-0.18538996577262878","-0.18538996577262878","-0.18538996577262878"
"5499","-0.18454132974147797","-0.18454132974147797","-0.18454132974147797"
"5523","-0.18433386087417603","-0.18433386087417603","-0.18433386087417603"
"5547","-0.18443241715431213","-0.18443241715431213","-0.18443241715431213"
"5571","-0.18333753943443298","-0.18333753943443298","-0.18333753943443298"
"5595","-0.18092186748981476","-0.18092186748981476","-0.18092186748981476"
"5619","-0.18215014040470123","-0.18215014040470123","-0.18215014040470123"
"5643","-0.18294669687747955","-0.18294669687747955","-0.18294669687747955"
"5667","-0.18130657076835632","-0.18130657076835632","-0.18130657076835632"
"5691","-0.18224051594734192","-0.18224051594734192","-0.18224051594734192"
"5715","-0.1826501041650772","-0.1826501041650772","-0.1826501041650772"
"5739","-0.1811460554599762","-0.1811460554599762","-0.1811460554599762"
"5763","-0.1824098378419876","-0.1824098378419876","-0.1824098378419876"
"5787","-0.18519115447998047","-0.18519115447998047","-0.18519115447998047"
"5811","-0.1861087530851364","-0.1861087530851364","-0.1861087530851364"
"5835","-0.1847010999917984","-0.1847010999917984","-0.1847010999917984"
"5859","-0.18533340096473694","-0.18533340096473694","-0.18533340096473694"
"5883","-0.1896066963672638","-0.1896066963672638","-0.1896066963672638"
"5907","-0.18902496993541718","-0.18902496993541718","-0.18902496993541718"
"5931","-0.18913334608078003","-0.18913334608078003","-0.18913334608078003"
"5955","-0.18709078431129456","-0.18709078431129456","-0.18709078431129456"
"5979","-0.18848346173763275","-0.18848346173763275","-0.18848346173763275"
"6003","-0.18970632553100586","-0.18970632553100586","-0.18970632553100586"
"6027","-0.19132797420024872","-0.19132797420024872","-0.19132797420024872"
"6051","-0.19296576082706451","-0.19296576082706451","-0.19296576082706451"
"6075","-0.19102516770362854","-0.19102516770362854","-0.19102516770362854"
"6099","-0.18982018530368805","-0.18982018530368805","-0.18982018530368805"
"6123","-0.18925276398658752","-0.18925276398658752","-0.18925276398658752"
"6147","-0.18622344732284546","-0.18622344732284546","-0.18622344732284546"
"6171","-0.18693691492080688","-0.18693691492080688","-0.18693691492080688"
"6195","-0.18974074721336365","-0.18974074721336365","-0.18974074721336365"
"6219","-0.1888929158449173","-0.1888929158449173","-0.1888929158449173"
"6243","-0.18812474608421326","-0.18812474608421326","-0.18812474608421326"
"6267","-0.18700248003005981","-0.18700248003005981","-0.18700248003005981"
"6291","-0.18619045615196228","-0.18619045615196228","-0.18619045615196228"
"6315","-0.18725045025348663","-0.18725045025348663","-0.18725045025348663"
"6339","-0.18738360702991486","-0.18738360702991486","-0.18738360702991486"
"6363","-0.18758760392665863","-0.18758760392665863","-0.18758760392665863"
"6387","-0.18600302934646606","-0.18600302934646606","-0.18600302934646606"
"6411","-0.18447448313236237","-0.18447448313236237","-0.18447448313236237"
"6435","-0.18452872335910797","-0.18452872335910797","-0.18452872335910797"
"6459","-0.1870570331811905","-0.1870570331811905","-0.1870570331811905"
"6483","-0.1835939735174179","-0.1835939735174179","-0.1835939735174179"
"6507","-0.183864563703537","-0.183864563703537","-0.183864563703537"
"6531","-0.1821882426738739","-0.1821882426738739","-0.1821882426738739"
"6555","-0.18228591978549957","-0.18228591978549957","-0.18228591978549957"
"6579","-0.1853233426809311","-0.1853233426809311","-0.1853233426809311"
"6603","-0.18651923537254333","-0.18651923537254333","-0.18651923537254333"
"6627","-0.18719394505023956","-0.18719394505023956","-0.18719394505023956"
"6650","-0.19455169141292572","-0.19455169141292572","-0.19455169141292572"
"6674","-0.19446629285812378","-0.19446629285812378","-0.19446629285812378"
"6698","-0.19283096492290497","-0.19283096492290497","-0.19283096492290497"
"6722","-0.18813595175743103","-0.18813595175743103","-0.18813595175743103"
"6746","-0.1893741339445114","-0.1893741339445114","-0.1893741339445114"
"6770","-0.187825009226799","-0.187825009226799","-0.187825009226799"
"6794","-0.18759983777999878","-0.18759983777999878","-0.18759983777999878"
"6818","-0.1884997934103012","-0.1884997934103012","-0.1884997934103012"
"6842","-0.1908951997756958","-0.1908951997756958","-0.1908951997756958"
"6866","-0.19010640680789948","-0.19010640680789948","-0.19010640680789948"
"6890","-0.18728116154670715","-0.18728116154670715","-0.18728116154670715"
"6914","-0.18923230469226837","-0.18923230469226837","-0.18923230469226837"
"6938","-0.1906406432390213","-0.1906406432390213","-0.1906406432390213"
"6962","-0.19321469962596893","-0.19321469962596893","-0.19321469962596893"
"6986","-0.19787150621414185","-0.19787150621414185","-0.19787150621414185"
"7010","-0.19864903390407562","-0.19864903390407562","-0.19864903390407562"
"7034","-0.19509023427963257","-0.19509023427963257","-0.19509023427963257"
"7058","-0.19413058459758759","-0.19413058459758759","-0.19413058459758759"
"7082","-0.19375824928283691","-0.19375824928283691","-0.19375824928283691"
"7106","-0.19650202989578247","-0.19650202989578247","-0.19650202989578247"
"7130","-0.19432960450649261","-0.19432960450649261","-0.19432960450649261"
"7154","-0.1938023865222931","-0.1938023865222931","-0.1938023865222931"
"7178","-0.19378423690795898","-0.19378423690795898","-0.19378423690795898"
"7202","-0.19220459461212158","-0.19220459461212158","-0.19220459461212158"
"7226","-0.1943691521883011","-0.1943691521883011","-0.1943691521883011"
"7250","-0.197318434715271","-0.197318434715271","-0.197318434715271"
"7274","-0.19817806780338287","-0.19817806780338287","-0.19817806780338287"
"7298","-0.19618819653987885","-0.19618819653987885","-0.19618819653987885"
"7322","-0.2000495046377182","-0.2000495046377182","-0.2000495046377182"
"7346","-0.20115801692008972","-0.20115801692008972","-0.20115801692008972"
"7370","-0.2014761120080948","-0.2014761120080948","-0.2014761120080948"
"7394","-0.20134857296943665","-0.20134857296943665","-0.20134857296943665"
"7418","-0.19989769160747528","-0.19989769160747528","-0.19989769160747528"
"7442","-0.19811004400253296","-0.19811004400253296","-0.19811004400253296"
"7466","-0.19893969595432281","-0.19893969595432281","-0.19893969595432281"
"7490","-0.197665736079216","-0.197665736079216","-0.197665736079216"
"7514","-0.19692005217075348","-0.19692005217075348","-0.19692005217075348"
"7538","-0.19939826428890228","-0.19939826428890228","-0.19939826428890228"
"7562","-0.2003248631954193","-0.2003248631954193","-0.2003248631954193"
"7586","-0.19972139596939087","-0.19972139596939087","-0.19972139596939087"
"7610","-0.19775453209877014","-0.19775453209877014","-0.19775453209877014"
"7634","-0.19927287101745605","-0.19927287101745605","-0.19927287101745605"
"7658","-0.20000998675823212","-0.20000998675823212","-0.20000998675823212"
"7682","-0.2027723640203476","-0.2027723640203476","-0.2027723640203476"
"7706","-0.20153717696666718","-0.20153717696666718","-0.20153717696666718"
"7730","-0.2012714147567749","-0.2012714147567749","-0.2012714147567749"
"7754","-0.2008075714111328","-0.2008075714111328","-0.2008075714111328"
"7778","-0.2019042819738388","-0.2019042819738388","-0.2019042819738388"
"7802","-0.19837740063667297","-0.19837740063667297","-0.19837740063667297"
"7826","-0.19652944803237915","-0.19652944803237915","-0.19652944803237915"
"7850","-0.19565416872501373","-0.19565416872501373","-0.19565416872501373"
"7874","-0.2004343569278717","-0.2004343569278717","-0.2004343569278717"
"7898","-0.20234201848506927","-0.20234201848506927","-0.20234201848506927"
"7922","-0.2017902284860611","-0.2017902284860611","-0.2017902284860611"
"7946","-0.20136232674121857","-0.20136232674121857","-0.20136232674121857"
"7970","-0.19887448847293854","-0.19887448847293854","-0.19887448847293854"
"7994","-0.1993648111820221","-0.1993648111820221","-0.1993648111820221"
"8018","-0.1971333771944046","-0.1971333771944046","-0.1971333771944046"
"8042","-0.19629508256912231","-0.19629508256912231","-0.19629508256912231"
"8066","-0.19822634756565094","-0.19822634756565094","-0.19822634756565094"
"8090","-0.1991117000579834","-0.1991117000579834","-0.1991117000579834"
"8114","-0.19898371398448944","-0.19898371398448944","-0.19898371398448944"
"8138","-0.1992076188325882","-0.1992076188325882","-0.1992076188325882"
"8162","-0.19922012090682983","-0.19922012090682983","-0.19922012090682983"
"8186","-0.1983642578125","-0.1983642578125","-0.1983642578125"
"8210","-0.19669990241527557","-0.19669990241527557","-0.19669990241527557"
"8234","-0.19752457737922668","-0.19752457737922668","-0.19752457737922668"
"8258","-0.19787228107452393","-0.19787228107452393","-0.19787228107452393"
"8282","-0.19911807775497437","-0.19911807775497437","-0.19911807775497437"
"8306","-0.19965137541294098","-0.19965137541294098","-0.19965137541294098"
"8330","-0.2004997432231903","-0.2004997432231903","-0.2004997432231903"
"8354","-0.20227712392807007","-0.20227712392807007","-0.20227712392807007"
"8378","-0.20435172319412231","-0.20435172319412231","-0.20435172319412231"
"8402","-0.2055237591266632","-0.2055237591266632","-0.2055237591266632"
"8426","-0.2051439881324768","-0.2051439881324768","-0.2051439881324768"
"8450","-0.20429834723472595","-0.20429834723472595","-0.20429834723472595"
"8474","-0.20035603642463684","-0.20035603642463684","-0.20035603642463684"
"8498","-0.19981889426708221","-0.19981889426708221","-0.19981889426708221"
"8522","-0.20195485651493073","-0.20195485651493073","-0.20195485651493073"
"8546","-0.20101775228977203","-0.20101775228977203","-0.20101775228977203"
"8570","-0.20130555331707","-0.20130555331707","-0.20130555331707"
"8594","-0.20291785895824432","-0.20291785895824432","-0.20291785895824432"
"8618","-0.20207133889198303","-0.20207133889198303","-0.20207133889198303"
"8642","-0.20019546151161194","-0.20019546151161194","-0.20019546151161194"
"8666","-0.20110101997852325","-0.20110101997852325","-0.20110101997852325"
