"Step","obs_best_seed2/11-29_10-38 - train/stats.tracking_error","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MIN","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MAX"
"4082","-0.019447751343250275","-0.019447751343250275","-0.019447751343250275"
"4106","-0.018215026706457138","-0.018215026706457138","-0.018215026706457138"
"4130","-0.017214220017194748","-0.017214220017194748","-0.017214220017194748"
"4154","-0.017116684466600418","-0.017116684466600418","-0.017116684466600418"
"4178","-0.016897471621632576","-0.016897471621632576","-0.016897471621632576"
"4202","-0.01706503890454769","-0.01706503890454769","-0.01706503890454769"
"4225","-0.0261263195425272","-0.0261263195425272","-0.0261263195425272"
"4248","-0.03921192139387131","-0.03921192139387131","-0.03921192139387131"
"4271","-0.039270028471946716","-0.039270028471946716","-0.039270028471946716"
"4295","-0.03155197575688362","-0.03155197575688362","-0.03155197575688362"
"4318","-0.03679083660244942","-0.03679083660244942","-0.03679083660244942"
"4341","-0.039274346083402634","-0.039274346083402634","-0.039274346083402634"
"4365","-0.031321343034505844","-0.031321343034505844","-0.031321343034505844"
"4389","-0.030780477449297905","-0.030780477449297905","-0.030780477449297905"
"4413","-0.02845650725066662","-0.02845650725066662","-0.02845650725066662"
"4437","-0.02728351019322872","-0.02728351019322872","-0.02728351019322872"
"4461","-0.027955977246165276","-0.027955977246165276","-0.027955977246165276"
"4485","-0.028256716206669807","-0.028256716206669807","-0.028256716206669807"
"4509","-0.028181657195091248","-0.028181657195091248","-0.028181657195091248"
"4533","-0.02781001850962639","-0.02781001850962639","-0.02781001850962639"
"4557","-0.02797655574977398","-0.02797655574977398","-0.02797655574977398"
"4581","-0.03359990194439888","-0.03359990194439888","-0.03359990194439888"
"4605","-0.03120243176817894","-0.03120243176817894","-0.03120243176817894"
"4629","-0.030684728175401688","-0.030684728175401688","-0.030684728175401688"
"4653","-0.02900366298854351","-0.02900366298854351","-0.02900366298854351"
"4678","-0.02730615809559822","-0.02730615809559822","-0.02730615809559822"
"4702","-0.026605455204844475","-0.026605455204844475","-0.026605455204844475"
"4726","-0.026029491797089577","-0.026029491797089577","-0.026029491797089577"
"4750","-0.02451164647936821","-0.02451164647936821","-0.02451164647936821"
"4775","-0.023443546146154404","-0.023443546146154404","-0.023443546146154404"
"4799","-0.02397879585623741","-0.02397879585623741","-0.02397879585623741"
"4823","-0.022290807217359543","-0.022290807217359543","-0.022290807217359543"
"4847","-0.023770784959197044","-0.023770784959197044","-0.023770784959197044"
"4871","-0.023081030696630478","-0.023081030696630478","-0.023081030696630478"
"4895","-0.02176709473133087","-0.02176709473133087","-0.02176709473133087"
"4919","-0.02069014683365822","-0.02069014683365822","-0.02069014683365822"
"4943","-0.020638292655348778","-0.020638292655348778","-0.020638292655348778"
"4967","-0.01930355466902256","-0.01930355466902256","-0.01930355466902256"
"4991","-0.018874768167734146","-0.018874768167734146","-0.018874768167734146"
"5015","-0.018923666328191757","-0.018923666328191757","-0.018923666328191757"
"5039","-0.01814172975718975","-0.01814172975718975","-0.01814172975718975"
"5063","-0.017803071066737175","-0.017803071066737175","-0.017803071066737175"
