"Step","obs_critic_wot/11-28_18-05 - train/stats.tracking_error","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MIN","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MAX"
"8666","-0.06448034197092056","-0.06448034197092056","-0.06448034197092056"
"8690","-0.06383001059293747","-0.06383001059293747","-0.06383001059293747"
"8714","-0.06461524963378906","-0.06461524963378906","-0.06461524963378906"
"8738","-0.06458941847085953","-0.06458941847085953","-0.06458941847085953"
"8762","-0.0639922171831131","-0.0639922171831131","-0.0639922171831131"
"8786","-0.06409858912229538","-0.06409858912229538","-0.06409858912229538"
"8810","-0.06442026793956757","-0.06442026793956757","-0.06442026793956757"
"8834","-0.06466720998287201","-0.06466720998287201","-0.06466720998287201"
"8858","-0.06294340640306473","-0.06294340640306473","-0.06294340640306473"
"8882","-0.06051710247993469","-0.06051710247993469","-0.06051710247993469"
"8906","-0.061017248779535294","-0.061017248779535294","-0.061017248779535294"
"8930","-0.06135525554418564","-0.06135525554418564","-0.06135525554418564"
"8954","-0.06156734377145767","-0.06156734377145767","-0.06156734377145767"
"8978","-0.06028500199317932","-0.06028500199317932","-0.06028500199317932"
"9002","-0.061770979315042496","-0.061770979315042496","-0.061770979315042496"
"9026","-0.06340301781892776","-0.06340301781892776","-0.06340301781892776"
"9050","-0.06362273544073105","-0.06362273544073105","-0.06362273544073105"
"9074","-0.062499038875103","-0.062499038875103","-0.062499038875103"
"9098","-0.0628160685300827","-0.0628160685300827","-0.0628160685300827"
"9122","-0.061833564192056656","-0.061833564192056656","-0.061833564192056656"
"9146","-0.06251916289329529","-0.06251916289329529","-0.06251916289329529"
"9170","-0.06316076219081879","-0.06316076219081879","-0.06316076219081879"
