"Step","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"6539","-0.13723105192184448","-0.13723105192184448","-0.13723105192184448"
"6563","-0.13731282949447632","-0.13731282949447632","-0.13731282949447632"
"6587","-0.13452358543872833","-0.13452358543872833","-0.13452358543872833"
"6611","-0.13330431282520294","-0.13330431282520294","-0.13330431282520294"
"6635","-0.1350102573633194","-0.1350102573633194","-0.1350102573633194"
"6659","-0.1350902020931244","-0.1350902020931244","-0.1350902020931244"
"6683","-0.13740310072898865","-0.13740310072898865","-0.13740310072898865"
"6707","-0.13898630440235138","-0.13898630440235138","-0.13898630440235138"
"6731","-0.13851363956928253","-0.13851363956928253","-0.13851363956928253"
"6755","-0.13727372884750366","-0.13727372884750366","-0.13727372884750366"
"6779","-0.13711263239383698","-0.13711263239383698","-0.13711263239383698"
"6803","-0.13557974994182587","-0.13557974994182587","-0.13557974994182587"
"6827","-0.14174459874629974","-0.14174459874629974","-0.14174459874629974"
"6851","-0.14179106056690216","-0.14179106056690216","-0.14179106056690216"
"6875","-0.14126548171043396","-0.14126548171043396","-0.14126548171043396"
"6899","-0.14118467271327972","-0.14118467271327972","-0.14118467271327972"
"6923","-0.1401008665561676","-0.1401008665561676","-0.1401008665561676"
"6947","-0.13680745661258698","-0.13680745661258698","-0.13680745661258698"
"6971","-0.13713862001895905","-0.13713862001895905","-0.13713862001895905"
"6995","-0.13631363213062286","-0.13631363213062286","-0.13631363213062286"
"7019","-0.1389724761247635","-0.1389724761247635","-0.1389724761247635"
"7043","-0.1373932957649231","-0.1373932957649231","-0.1373932957649231"
"7067","-0.13694028556346893","-0.13694028556346893","-0.13694028556346893"
"7091","-0.13572052121162415","-0.13572052121162415","-0.13572052121162415"
"7115","-0.13453823328018188","-0.13453823328018188","-0.13453823328018188"
"7139","-0.13519904017448425","-0.13519904017448425","-0.13519904017448425"
"7163","-0.137221097946167","-0.137221097946167","-0.137221097946167"
"7187","-0.13465677201747894","-0.13465677201747894","-0.13465677201747894"
"7211","-0.13653752207756042","-0.13653752207756042","-0.13653752207756042"
"7235","-0.13778211176395416","-0.13778211176395416","-0.13778211176395416"
"7259","-0.13703112304210663","-0.13703112304210663","-0.13703112304210663"
"7283","-0.13752011954784393","-0.13752011954784393","-0.13752011954784393"
"7307","-0.13726550340652466","-0.13726550340652466","-0.13726550340652466"
"7331","-0.13811610639095306","-0.13811610639095306","-0.13811610639095306"
"7355","-0.13782741129398346","-0.13782741129398346","-0.13782741129398346"
"7379","-0.14185255765914917","-0.14185255765914917","-0.14185255765914917"
"7403","-0.14078889787197113","-0.14078889787197113","-0.14078889787197113"
"7427","-0.14209821820259094","-0.14209821820259094","-0.14209821820259094"
"7451","-0.14352253079414368","-0.14352253079414368","-0.14352253079414368"
"7475","-0.14532287418842316","-0.14532287418842316","-0.14532287418842316"
"7499","-0.14640773832798004","-0.14640773832798004","-0.14640773832798004"
"7523","-0.1438281536102295","-0.1438281536102295","-0.1438281536102295"
"7547","-0.14483678340911865","-0.14483678340911865","-0.14483678340911865"
"7571","-0.146188884973526","-0.146188884973526","-0.146188884973526"
"7595","-0.14384901523590088","-0.14384901523590088","-0.14384901523590088"
"7619","-0.14395254850387573","-0.14395254850387573","-0.14395254850387573"
"7643","-0.14528429508209229","-0.14528429508209229","-0.14528429508209229"
"7667","-0.14463388919830322","-0.14463388919830322","-0.14463388919830322"
"7691","-0.1456352323293686","-0.1456352323293686","-0.1456352323293686"
"7715","-0.14301133155822754","-0.14301133155822754","-0.14301133155822754"
"7739","-0.1441313773393631","-0.1441313773393631","-0.1441313773393631"
"7763","-0.1477905809879303","-0.1477905809879303","-0.1477905809879303"
"7787","-0.14591318368911743","-0.14591318368911743","-0.14591318368911743"
"7811","-0.14353689551353455","-0.14353689551353455","-0.14353689551353455"
"7835","-0.14262646436691284","-0.14262646436691284","-0.14262646436691284"
"7859","-0.1447840929031372","-0.1447840929031372","-0.1447840929031372"
"7883","-0.141506165266037","-0.141506165266037","-0.141506165266037"
"7907","-0.13886143267154694","-0.13886143267154694","-0.13886143267154694"
"7931","-0.1401522010564804","-0.1401522010564804","-0.1401522010564804"
"7955","-0.13899008929729462","-0.13899008929729462","-0.13899008929729462"
"7979","-0.13839803636074066","-0.13839803636074066","-0.13839803636074066"
"8003","-0.13692539930343628","-0.13692539930343628","-0.13692539930343628"
"8027","-0.13718925416469574","-0.13718925416469574","-0.13718925416469574"
"8051","-0.13527202606201172","-0.13527202606201172","-0.13527202606201172"
"8075","-0.13559837639331818","-0.13559837639331818","-0.13559837639331818"
"8099","-0.13587786257266998","-0.13587786257266998","-0.13587786257266998"
"8123","-0.13895122706890106","-0.13895122706890106","-0.13895122706890106"
"8147","-0.140583798289299","-0.140583798289299","-0.140583798289299"
"8171","-0.13959218561649323","-0.13959218561649323","-0.13959218561649323"
"8195","-0.14051108062267303","-0.14051108062267303","-0.14051108062267303"
"8219","-0.13934682309627533","-0.13934682309627533","-0.13934682309627533"
"8243","-0.1396595686674118","-0.1396595686674118","-0.1396595686674118"
"8267","-0.14122284948825836","-0.14122284948825836","-0.14122284948825836"
"8291","-0.13973219692707062","-0.13973219692707062","-0.13973219692707062"
"8315","-0.14009514451026917","-0.14009514451026917","-0.14009514451026917"
"8339","-0.1430622637271881","-0.1430622637271881","-0.1430622637271881"
"8363","-0.14285431802272797","-0.14285431802272797","-0.14285431802272797"
"8387","-0.14497336745262146","-0.14497336745262146","-0.14497336745262146"
"8411","-0.1449807733297348","-0.1449807733297348","-0.1449807733297348"
"8435","-0.14591816067695618","-0.14591816067695618","-0.14591816067695618"
"8459","-0.1440199464559555","-0.1440199464559555","-0.1440199464559555"
