"Step","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"6771","-0.06632547825574875","-0.06632547825574875","-0.06632547825574875"
"6795","-0.06749898940324783","-0.06749898940324783","-0.06749898940324783"
"6819","-0.06788026541471481","-0.06788026541471481","-0.06788026541471481"
"6843","-0.06804213672876358","-0.06804213672876358","-0.06804213672876358"
"6867","-0.06896723806858063","-0.06896723806858063","-0.06896723806858063"
"6891","-0.06992065161466599","-0.06992065161466599","-0.06992065161466599"
"6915","-0.0706801787018776","-0.0706801787018776","-0.0706801787018776"
"6939","-0.06854642927646637","-0.06854642927646637","-0.06854642927646637"
"6963","-0.06682069599628448","-0.06682069599628448","-0.06682069599628448"
"6987","-0.06636423617601395","-0.06636423617601395","-0.06636423617601395"
"7011","-0.0652812272310257","-0.0652812272310257","-0.0652812272310257"
"7035","-0.06698112934827805","-0.06698112934827805","-0.06698112934827805"
"7059","-0.06671751290559769","-0.06671751290559769","-0.06671751290559769"
"7083","-0.06523647904396057","-0.06523647904396057","-0.06523647904396057"
"7107","-0.06489400565624237","-0.06489400565624237","-0.06489400565624237"
"7131","-0.06670980900526047","-0.06670980900526047","-0.06670980900526047"
"7155","-0.06745850294828415","-0.06745850294828415","-0.06745850294828415"
"7179","-0.06813346594572067","-0.06813346594572067","-0.06813346594572067"
"7204","-0.0684972032904625","-0.0684972032904625","-0.0684972032904625"
"7229","-0.07093773782253265","-0.07093773782253265","-0.07093773782253265"
"7254","-0.07149374485015869","-0.07149374485015869","-0.07149374485015869"
"7279","-0.06937262415885925","-0.06937262415885925","-0.06937262415885925"
"7304","-0.07109790295362473","-0.07109790295362473","-0.07109790295362473"
"7330","-0.06785761564970016","-0.06785761564970016","-0.06785761564970016"
"7355","-0.06669079512357712","-0.06669079512357712","-0.06669079512357712"
"7379","-0.06925758719444275","-0.06925758719444275","-0.06925758719444275"
"7403","-0.07072386145591736","-0.07072386145591736","-0.07072386145591736"
"7427","-0.07115995138883591","-0.07115995138883591","-0.07115995138883591"
"7451","-0.0693749412894249","-0.0693749412894249","-0.0693749412894249"
"7475","-0.07290138304233551","-0.07290138304233551","-0.07290138304233551"
"7499","-0.06989734619855881","-0.06989734619855881","-0.06989734619855881"
"7523","-0.06991058588027954","-0.06991058588027954","-0.06991058588027954"
"7547","-0.06972669064998627","-0.06972669064998627","-0.06972669064998627"
"7571","-0.06576022505760193","-0.06576022505760193","-0.06576022505760193"
"7595","-0.06938821077346802","-0.06938821077346802","-0.06938821077346802"
"7619","-0.06942830979824066","-0.06942830979824066","-0.06942830979824066"
"7643","-0.06919319927692413","-0.06919319927692413","-0.06919319927692413"
"7667","-0.06887171417474747","-0.06887171417474747","-0.06887171417474747"
"7691","-0.0680069699883461","-0.0680069699883461","-0.0680069699883461"
"7715","-0.06763139367103577","-0.06763139367103577","-0.06763139367103577"
"7739","-0.06380295008420944","-0.06380295008420944","-0.06380295008420944"
"7763","-0.06547828018665314","-0.06547828018665314","-0.06547828018665314"
"7787","-0.0663842260837555","-0.0663842260837555","-0.0663842260837555"
"7811","-0.0640677884221077","-0.0640677884221077","-0.0640677884221077"
"7835","-0.06301892548799515","-0.06301892548799515","-0.06301892548799515"
"7859","-0.06443646550178528","-0.06443646550178528","-0.06443646550178528"
"7883","-0.06512953341007233","-0.06512953341007233","-0.06512953341007233"
"7907","-0.06578090786933899","-0.06578090786933899","-0.06578090786933899"
"7932","-0.06431011855602264","-0.06431011855602264","-0.06431011855602264"
"7957","-0.06376078724861145","-0.06376078724861145","-0.06376078724861145"
"7982","-0.06305798888206482","-0.06305798888206482","-0.06305798888206482"
"8007","-0.06326313316822052","-0.06326313316822052","-0.06326313316822052"
"8033","-0.06480909883975983","-0.06480909883975983","-0.06480909883975983"
"8058","-0.06567314267158508","-0.06567314267158508","-0.06567314267158508"
"8082","-0.06463433057069778","-0.06463433057069778","-0.06463433057069778"
"8106","-0.06478139013051987","-0.06478139013051987","-0.06478139013051987"
"8130","-0.06394387036561966","-0.06394387036561966","-0.06394387036561966"
"8154","-0.06502283364534378","-0.06502283364534378","-0.06502283364534378"
"8178","-0.06978347152471542","-0.06978347152471542","-0.06978347152471542"
"8202","-0.06907182186841965","-0.06907182186841965","-0.06907182186841965"
"8226","-0.06807690113782883","-0.06807690113782883","-0.06807690113782883"
"8250","-0.06773506104946136","-0.06773506104946136","-0.06773506104946136"
"8274","-0.06712021678686142","-0.06712021678686142","-0.06712021678686142"
"8298","-0.0660725086927414","-0.0660725086927414","-0.0660725086927414"
"8322","-0.06803801655769348","-0.06803801655769348","-0.06803801655769348"
"8346","-0.06771594285964966","-0.06771594285964966","-0.06771594285964966"
"8370","-0.06670688837766647","-0.06670688837766647","-0.06670688837766647"
"8394","-0.06713937222957611","-0.06713937222957611","-0.06713937222957611"
"8418","-0.06812538206577301","-0.06812538206577301","-0.06812538206577301"
"8442","-0.06755274534225464","-0.06755274534225464","-0.06755274534225464"
"8466","-0.06718394160270691","-0.06718394160270691","-0.06718394160270691"
"8490","-0.06774283945560455","-0.06774283945560455","-0.06774283945560455"
"8514","-0.06697920709848404","-0.06697920709848404","-0.06697920709848404"
"8538","-0.0675673633813858","-0.0675673633813858","-0.0675673633813858"
"8562","-0.06699991226196289","-0.06699991226196289","-0.06699991226196289"
"8587","-0.06625253707170486","-0.06625253707170486","-0.06625253707170486"
"8612","-0.06911253184080124","-0.06911253184080124","-0.06911253184080124"
"8637","-0.06889002025127411","-0.06889002025127411","-0.06889002025127411"
"8662","-0.06874047964811325","-0.06874047964811325","-0.06874047964811325"
"8687","-0.06835821270942688","-0.06835821270942688","-0.06835821270942688"
"8712","-0.06808508187532425","-0.06808508187532425","-0.06808508187532425"
"8737","-0.0697597935795784","-0.0697597935795784","-0.0697597935795784"
"8761","-0.0684407576918602","-0.0684407576918602","-0.0684407576918602"
"8785","-0.06922739744186401","-0.06922739744186401","-0.06922739744186401"
"8809","-0.06695105880498886","-0.06695105880498886","-0.06695105880498886"
"8833","-0.06827719509601593","-0.06827719509601593","-0.06827719509601593"
"8857","-0.06918706744909286","-0.06918706744909286","-0.06918706744909286"
