"Step","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MIN","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MAX"
"4238","-0.10837983340024948","-0.10837983340024948","-0.10837983340024948"
"4257","-0.09832239151000977","-0.09832239151000977","-0.09832239151000977"
"4275","-0.12780338525772095","-0.12780338525772095","-0.12780338525772095"
"4294","-0.12061378359794617","-0.12061378359794617","-0.12061378359794617"
"4316","-0.0681665763258934","-0.0681665763258934","-0.0681665763258934"
"4339","-0.0484144501388073","-0.0484144501388073","-0.0484144501388073"
"4363","-0.03871592506766319","-0.03871592506766319","-0.03871592506766319"
"4387","-0.03373471274971962","-0.03373471274971962","-0.03373471274971962"
"4411","-0.03167414665222168","-0.03167414665222168","-0.03167414665222168"
"4435","-0.03044949658215046","-0.03044949658215046","-0.03044949658215046"
"4459","-0.03182821348309517","-0.03182821348309517","-0.03182821348309517"
"4483","-0.030283821746706963","-0.030283821746706963","-0.030283821746706963"
"4506","-0.051540128886699677","-0.051540128886699677","-0.051540128886699677"
"4528","-0.07287503033876419","-0.07287503033876419","-0.07287503033876419"
"4551","-0.05956575274467468","-0.05956575274467468","-0.05956575274467468"
"4574","-0.06720615178346634","-0.06720615178346634","-0.06720615178346634"
"4597","-0.06678035110235214","-0.06678035110235214","-0.06678035110235214"
"4620","-0.05322754755616188","-0.05322754755616188","-0.05322754755616188"
"4643","-0.05442441254854202","-0.05442441254854202","-0.05442441254854202"
"4664","-0.08253316581249237","-0.08253316581249237","-0.08253316581249237"
"4685","-0.08863940089941025","-0.08863940089941025","-0.08863940089941025"
"4706","-0.0779697448015213","-0.0779697448015213","-0.0779697448015213"
"4728","-0.0648750513792038","-0.0648750513792038","-0.0648750513792038"
"4749","-0.0757535994052887","-0.0757535994052887","-0.0757535994052887"
"4771","-0.06268671154975891","-0.06268671154975891","-0.06268671154975891"
"4793","-0.057778749614953995","-0.057778749614953995","-0.057778749614953995"
"4815","-0.06265497952699661","-0.06265497952699661","-0.06265497952699661"
"4838","-0.05279430001974106","-0.05279430001974106","-0.05279430001974106"
"4862","-0.03241485729813576","-0.03241485729813576","-0.03241485729813576"
"4886","-0.036058150231838226","-0.036058150231838226","-0.036058150231838226"
"4909","-0.05109180882573128","-0.05109180882573128","-0.05109180882573128"
"4931","-0.06324266642332077","-0.06324266642332077","-0.06324266642332077"
"4952","-0.08305634558200836","-0.08305634558200836","-0.08305634558200836"
"4974","-0.06765159964561462","-0.06765159964561462","-0.06765159964561462"
"4997","-0.05367852747440338","-0.05367852747440338","-0.05367852747440338"
"5020","-0.05420859530568123","-0.05420859530568123","-0.05420859530568123"
"5043","-0.04906415566802025","-0.04906415566802025","-0.04906415566802025"
"5067","-0.04051794484257698","-0.04051794484257698","-0.04051794484257698"
"5091","-0.028615396469831467","-0.028615396469831467","-0.028615396469831467"
"5115","-0.026541579514741898","-0.026541579514741898","-0.026541579514741898"
"5139","-0.02724774368107319","-0.02724774368107319","-0.02724774368107319"
"5163","-0.02607015334069729","-0.02607015334069729","-0.02607015334069729"
"5187","-0.03735286369919777","-0.03735286369919777","-0.03735286369919777"
"5211","-0.03376968204975128","-0.03376968204975128","-0.03376968204975128"
"5235","-0.03600721061229706","-0.03600721061229706","-0.03600721061229706"
"5259","-0.033684879541397095","-0.033684879541397095","-0.033684879541397095"
"5282","-0.034931305795907974","-0.034931305795907974","-0.034931305795907974"
"5306","-0.028219997882843018","-0.028219997882843018","-0.028219997882843018"
"5330","-0.029969895258545876","-0.029969895258545876","-0.029969895258545876"
"5354","-0.03290112316608429","-0.03290112316608429","-0.03290112316608429"
"5378","-0.0345006063580513","-0.0345006063580513","-0.0345006063580513"
"5402","-0.03171887248754501","-0.03171887248754501","-0.03171887248754501"
"5426","-0.035837411880493164","-0.035837411880493164","-0.035837411880493164"
"5450","-0.033055923879146576","-0.033055923879146576","-0.033055923879146576"
"5474","-0.026385944336652756","-0.026385944336652756","-0.026385944336652756"
"5498","-0.02527977153658867","-0.02527977153658867","-0.02527977153658867"
"5522","-0.02503512240946293","-0.02503512240946293","-0.02503512240946293"
"5545","-0.03818923979997635","-0.03818923979997635","-0.03818923979997635"
"5567","-0.05541464313864708","-0.05541464313864708","-0.05541464313864708"
"5589","-0.0654122531414032","-0.0654122531414032","-0.0654122531414032"
"5612","-0.04481339082121849","-0.04481339082121849","-0.04481339082121849"
"5635","-0.04272485896945","-0.04272485896945","-0.04272485896945"
"5658","-0.0447278656065464","-0.0447278656065464","-0.0447278656065464"
"5681","-0.047612473368644714","-0.047612473368644714","-0.047612473368644714"
"5703","-0.05805426090955734","-0.05805426090955734","-0.05805426090955734"
"5725","-0.07318323850631714","-0.07318323850631714","-0.07318323850631714"
"5747","-0.07456107437610626","-0.07456107437610626","-0.07456107437610626"
"5769","-0.061206042766571045","-0.061206042766571045","-0.061206042766571045"
"5791","-0.06314563751220703","-0.06314563751220703","-0.06314563751220703"
"5814","-0.054541751742362976","-0.054541751742362976","-0.054541751742362976"
"5838","-0.03189491480588913","-0.03189491480588913","-0.03189491480588913"
"5862","-0.02958540990948677","-0.02958540990948677","-0.02958540990948677"
"5886","-0.031147552654147148","-0.031147552654147148","-0.031147552654147148"
"5910","-0.026462899520993233","-0.026462899520993233","-0.026462899520993233"
"5934","-0.033749036490917206","-0.033749036490917206","-0.033749036490917206"
"5957","-0.0371539443731308","-0.0371539443731308","-0.0371539443731308"
"5978","-0.06964930891990662","-0.06964930891990662","-0.06964930891990662"
"5994","-0.10716672986745834","-0.10716672986745834","-0.10716672986745834"
"6012","-0.08600196242332458","-0.08600196242332458","-0.08600196242332458"
"6032","-0.07900498062372208","-0.07900498062372208","-0.07900498062372208"
"6053","-0.07638272643089294","-0.07638272643089294","-0.07638272643089294"
"6074","-0.07026252895593643","-0.07026252895593643","-0.07026252895593643"
"6097","-0.047250986099243164","-0.047250986099243164","-0.047250986099243164"
"6120","-0.041075728833675385","-0.041075728833675385","-0.041075728833675385"
"6144","-0.03793356567621231","-0.03793356567621231","-0.03793356567621231"
"6168","-0.03529516980051994","-0.03529516980051994","-0.03529516980051994"
"6192","-0.02911749668419361","-0.02911749668419361","-0.02911749668419361"
"6216","-0.023932069540023804","-0.023932069540023804","-0.023932069540023804"
"6240","-0.02214168570935726","-0.02214168570935726","-0.02214168570935726"
"6264","-0.02270505204796791","-0.02270505204796791","-0.02270505204796791"
"6288","-0.029181312769651413","-0.029181312769651413","-0.029181312769651413"
"6311","-0.04729785397648811","-0.04729785397648811","-0.04729785397648811"
