"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"3634","-0.015075691975653172","-0.015075691975653172","-0.015075691975653172"
"3658","-0.014892295934259892","-0.014892295934259892","-0.014892295934259892"
"3682","-0.014701936393976212","-0.014701936393976212","-0.014701936393976212"
"3706","-0.014534244313836098","-0.014534244313836098","-0.014534244313836098"
"3730","-0.013780605047941208","-0.013780605047941208","-0.013780605047941208"
"3754","-0.013782576657831669","-0.013782576657831669","-0.013782576657831669"
"3778","-0.013627993874251842","-0.013627993874251842","-0.013627993874251842"
"3802","-0.0137141402810812","-0.0137141402810812","-0.0137141402810812"
"3826","-0.013501492328941822","-0.013501492328941822","-0.013501492328941822"
"3850","-0.013101519085466862","-0.013101519085466862","-0.013101519085466862"
"3874","-0.013425899669528008","-0.013425899669528008","-0.013425899669528008"
"3898","-0.01386199425905943","-0.01386199425905943","-0.01386199425905943"
"3922","-0.013434525579214096","-0.013434525579214096","-0.013434525579214096"
"3946","-0.01339817512780428","-0.01339817512780428","-0.01339817512780428"
"3970","-0.01359407790005207","-0.01359407790005207","-0.01359407790005207"
"3994","-0.013632076792418957","-0.013632076792418957","-0.013632076792418957"
"4018","-0.014168164692819118","-0.014168164692819118","-0.014168164692819118"
"4042","-0.013983423821628094","-0.013983423821628094","-0.013983423821628094"
"4066","-0.014114460907876492","-0.014114460907876492","-0.014114460907876492"
"4090","-0.014344483613967896","-0.014344483613967896","-0.014344483613967896"
"4114","-0.014181675389409065","-0.014181675389409065","-0.014181675389409065"
"4138","-0.015543114393949509","-0.015543114393949509","-0.015543114393949509"
"4162","-0.016193073242902756","-0.016193073242902756","-0.016193073242902756"
"4186","-0.016757646575570107","-0.016757646575570107","-0.016757646575570107"
"4210","-0.01762476935982704","-0.01762476935982704","-0.01762476935982704"
"4234","-0.01756696216762066","-0.01756696216762066","-0.01756696216762066"
"4258","-0.016375817358493805","-0.016375817358493805","-0.016375817358493805"
"4282","-0.015673652291297913","-0.015673652291297913","-0.015673652291297913"
"4306","-0.015458705835044384","-0.015458705835044384","-0.015458705835044384"
"4330","-0.01618236117064953","-0.01618236117064953","-0.01618236117064953"
"4354","-0.01626139134168625","-0.01626139134168625","-0.01626139134168625"
