"Step","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MIN","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MAX"
"3596","-0.2028702199459076","-0.2028702199459076","-0.2028702199459076"
"3619","-0.20161202549934387","-0.20161202549934387","-0.20161202549934387"
"3642","-0.20175933837890625","-0.20175933837890625","-0.20175933837890625"
"3665","-0.19952504336833954","-0.19952504336833954","-0.19952504336833954"
"3688","-0.19842493534088135","-0.19842493534088135","-0.19842493534088135"
"3711","-0.19831828773021698","-0.19831828773021698","-0.19831828773021698"
"3734","-0.19230511784553528","-0.19230511784553528","-0.19230511784553528"
"3757","-0.1902690827846527","-0.1902690827846527","-0.1902690827846527"
"3780","-0.1907859891653061","-0.1907859891653061","-0.1907859891653061"
"3803","-0.19430355727672577","-0.19430355727672577","-0.19430355727672577"
"3826","-0.19168737530708313","-0.19168737530708313","-0.19168737530708313"
"3849","-0.1909485012292862","-0.1909485012292862","-0.1909485012292862"
"3872","-0.19005608558654785","-0.19005608558654785","-0.19005608558654785"
"3895","-0.18814341723918915","-0.18814341723918915","-0.18814341723918915"
"3918","-0.18470051884651184","-0.18470051884651184","-0.18470051884651184"
"3941","-0.1833457201719284","-0.1833457201719284","-0.1833457201719284"
"3964","-0.18452787399291992","-0.18452787399291992","-0.18452787399291992"
"3987","-0.18623089790344238","-0.18623089790344238","-0.18623089790344238"
"4010","-0.18562939763069153","-0.18562939763069153","-0.18562939763069153"
"4033","-0.18540041148662567","-0.18540041148662567","-0.18540041148662567"
"4056","-0.18520517647266388","-0.18520517647266388","-0.18520517647266388"
"4079","-0.18340758979320526","-0.18340758979320526","-0.18340758979320526"
"4102","-0.18286648392677307","-0.18286648392677307","-0.18286648392677307"
"4125","-0.18084360659122467","-0.18084360659122467","-0.18084360659122467"
"4148","-0.1808515191078186","-0.1808515191078186","-0.1808515191078186"
"4171","-0.17633242905139923","-0.17633242905139923","-0.17633242905139923"
"4194","-0.1791527271270752","-0.1791527271270752","-0.1791527271270752"
"4217","-0.17718099057674408","-0.17718099057674408","-0.17718099057674408"
"4240","-0.17817483842372894","-0.17817483842372894","-0.17817483842372894"
"4263","-0.17553949356079102","-0.17553949356079102","-0.17553949356079102"
"4286","-0.1734059453010559","-0.1734059453010559","-0.1734059453010559"
"4309","-0.1727437525987625","-0.1727437525987625","-0.1727437525987625"
"4332","-0.17327938973903656","-0.17327938973903656","-0.17327938973903656"
"4355","-0.16970616579055786","-0.16970616579055786","-0.16970616579055786"
"4378","-0.1694612205028534","-0.1694612205028534","-0.1694612205028534"
"4401","-0.16931527853012085","-0.16931527853012085","-0.16931527853012085"
"4424","-0.1705164611339569","-0.1705164611339569","-0.1705164611339569"
"4447","-0.16863177716732025","-0.16863177716732025","-0.16863177716732025"
"4470","-0.1716967225074768","-0.1716967225074768","-0.1716967225074768"
"4493","-0.17343735694885254","-0.17343735694885254","-0.17343735694885254"
"4516","-0.17234477400779724","-0.17234477400779724","-0.17234477400779724"
"4539","-0.1717173159122467","-0.1717173159122467","-0.1717173159122467"
"4562","-0.16716907918453217","-0.16716907918453217","-0.16716907918453217"
"4585","-0.16751539707183838","-0.16751539707183838","-0.16751539707183838"
"4608","-0.16880306601524353","-0.16880306601524353","-0.16880306601524353"
"4631","-0.1700180172920227","-0.1700180172920227","-0.1700180172920227"
"4654","-0.1687789410352707","-0.1687789410352707","-0.1687789410352707"
"4677","-0.17079581320285797","-0.17079581320285797","-0.17079581320285797"
"4700","-0.1710759848356247","-0.1710759848356247","-0.1710759848356247"
"4723","-0.16696299612522125","-0.16696299612522125","-0.16696299612522125"
"4746","-0.16825328767299652","-0.16825328767299652","-0.16825328767299652"
"4769","-0.1743563562631607","-0.1743563562631607","-0.1743563562631607"
"4792","-0.17212972044944763","-0.17212972044944763","-0.17212972044944763"
"4815","-0.17037257552146912","-0.17037257552146912","-0.17037257552146912"
"4838","-0.16931235790252686","-0.16931235790252686","-0.16931235790252686"
"4861","-0.174733966588974","-0.174733966588974","-0.174733966588974"
"4884","-0.1774846762418747","-0.1774846762418747","-0.1774846762418747"
"4907","-0.17776191234588623","-0.17776191234588623","-0.17776191234588623"
"4930","-0.17663942277431488","-0.17663942277431488","-0.17663942277431488"
"4953","-0.17796437442302704","-0.17796437442302704","-0.17796437442302704"
"4976","-0.17698800563812256","-0.17698800563812256","-0.17698800563812256"
"4999","-0.17610280215740204","-0.17610280215740204","-0.17610280215740204"
"5022","-0.17446739971637726","-0.17446739971637726","-0.17446739971637726"
"5045","-0.17731040716171265","-0.17731040716171265","-0.17731040716171265"
"5068","-0.17478682100772858","-0.17478682100772858","-0.17478682100772858"
"5091","-0.17665213346481323","-0.17665213346481323","-0.17665213346481323"
"5114","-0.1747695952653885","-0.1747695952653885","-0.1747695952653885"
"5137","-0.18031512200832367","-0.18031512200832367","-0.18031512200832367"
"5160","-0.1773502230644226","-0.1773502230644226","-0.1773502230644226"
"5183","-0.17835001647472382","-0.17835001647472382","-0.17835001647472382"
"5206","-0.17916996777057648","-0.17916996777057648","-0.17916996777057648"
"5229","-0.17587575316429138","-0.17587575316429138","-0.17587575316429138"
"5252","-0.180150106549263","-0.180150106549263","-0.180150106549263"
"5275","-0.1754152476787567","-0.1754152476787567","-0.1754152476787567"
"5298","-0.17339855432510376","-0.17339855432510376","-0.17339855432510376"
"5321","-0.1732414811849594","-0.1732414811849594","-0.1732414811849594"
"5344","-0.17378677427768707","-0.17378677427768707","-0.17378677427768707"
"5367","-0.1697562038898468","-0.1697562038898468","-0.1697562038898468"
"5390","-0.172652468085289","-0.172652468085289","-0.172652468085289"
"5413","-0.16653135418891907","-0.16653135418891907","-0.16653135418891907"
"5436","-0.16795983910560608","-0.16795983910560608","-0.16795983910560608"
"5459","-0.16945281624794006","-0.16945281624794006","-0.16945281624794006"
"5482","-0.16726204752922058","-0.16726204752922058","-0.16726204752922058"
"5505","-0.16615140438079834","-0.16615140438079834","-0.16615140438079834"
"5528","-0.1660875678062439","-0.1660875678062439","-0.1660875678062439"
"5551","-0.16666531562805176","-0.16666531562805176","-0.16666531562805176"
"5574","-0.16639409959316254","-0.16639409959316254","-0.16639409959316254"
"5597","-0.1656290739774704","-0.1656290739774704","-0.1656290739774704"
"5620","-0.16851772367954254","-0.16851772367954254","-0.16851772367954254"
"5643","-0.16601772606372833","-0.16601772606372833","-0.16601772606372833"
"5666","-0.17010065913200378","-0.17010065913200378","-0.17010065913200378"
"5689","-0.17073935270309448","-0.17073935270309448","-0.17073935270309448"
"5712","-0.16927610337734222","-0.16927610337734222","-0.16927610337734222"
"5735","-0.1722116321325302","-0.1722116321325302","-0.1722116321325302"
"5758","-0.1714276522397995","-0.1714276522397995","-0.1714276522397995"
"5781","-0.17024141550064087","-0.17024141550064087","-0.17024141550064087"
"5804","-0.17141221463680267","-0.17141221463680267","-0.17141221463680267"
"5827","-0.16855975985527039","-0.16855975985527039","-0.16855975985527039"
"5850","-0.1661977916955948","-0.1661977916955948","-0.1661977916955948"
"5873","-0.1687050312757492","-0.1687050312757492","-0.1687050312757492"
"5896","-0.166426420211792","-0.166426420211792","-0.166426420211792"
"5919","-0.1656503528356552","-0.1656503528356552","-0.1656503528356552"
"5942","-0.16228219866752625","-0.16228219866752625","-0.16228219866752625"
"5965","-0.16723333299160004","-0.16723333299160004","-0.16723333299160004"
"5988","-0.163966104388237","-0.163966104388237","-0.163966104388237"
"6011","-0.16321510076522827","-0.16321510076522827","-0.16321510076522827"
"6034","-0.16315670311450958","-0.16315670311450958","-0.16315670311450958"
"6057","-0.1624307781457901","-0.1624307781457901","-0.1624307781457901"
"6080","-0.16509129106998444","-0.16509129106998444","-0.16509129106998444"
"6104","-0.1581324338912964","-0.1581324338912964","-0.1581324338912964"
"6127","-0.15958623588085175","-0.15958623588085175","-0.15958623588085175"
"6151","-0.1591547131538391","-0.1591547131538391","-0.1591547131538391"
"6174","-0.16060902178287506","-0.16060902178287506","-0.16060902178287506"
"6197","-0.16156171262264252","-0.16156171262264252","-0.16156171262264252"
"6220","-0.16254392266273499","-0.16254392266273499","-0.16254392266273499"
"6243","-0.1610281765460968","-0.1610281765460968","-0.1610281765460968"
"6266","-0.1594204157590866","-0.1594204157590866","-0.1594204157590866"
"6289","-0.15946102142333984","-0.15946102142333984","-0.15946102142333984"
"6313","-0.1603386104106903","-0.1603386104106903","-0.1603386104106903"
"6336","-0.16174674034118652","-0.16174674034118652","-0.16174674034118652"
"6360","-0.15910400450229645","-0.15910400450229645","-0.15910400450229645"
"6384","-0.1565946787595749","-0.1565946787595749","-0.1565946787595749"
"6407","-0.1578243225812912","-0.1578243225812912","-0.1578243225812912"
"6430","-0.1585434228181839","-0.1585434228181839","-0.1585434228181839"
"6453","-0.1609696000814438","-0.1609696000814438","-0.1609696000814438"
"6476","-0.16192223131656647","-0.16192223131656647","-0.16192223131656647"
"6500","-0.16044920682907104","-0.16044920682907104","-0.16044920682907104"
"6524","-0.15922483801841736","-0.15922483801841736","-0.15922483801841736"
"6548","-0.15631262958049774","-0.15631262958049774","-0.15631262958049774"
"6572","-0.15733614563941956","-0.15733614563941956","-0.15733614563941956"
"6596","-0.16023589670658112","-0.16023589670658112","-0.16023589670658112"
"6619","-0.15787696838378906","-0.15787696838378906","-0.15787696838378906"
"6643","-0.1583479791879654","-0.1583479791879654","-0.1583479791879654"
"6666","-0.15907028317451477","-0.15907028317451477","-0.15907028317451477"
"6690","-0.1592836081981659","-0.1592836081981659","-0.1592836081981659"
"6714","-0.15764398872852325","-0.15764398872852325","-0.15764398872852325"
"6738","-0.15733025968074799","-0.15733025968074799","-0.15733025968074799"
"6762","-0.15579776465892792","-0.15579776465892792","-0.15579776465892792"
"6786","-0.15576966106891632","-0.15576966106891632","-0.15576966106891632"
"6810","-0.1558326929807663","-0.1558326929807663","-0.1558326929807663"
"6834","-0.1530083566904068","-0.1530083566904068","-0.1530083566904068"
"6858","-0.1551869958639145","-0.1551869958639145","-0.1551869958639145"
"6882","-0.15872310101985931","-0.15872310101985931","-0.15872310101985931"
"6906","-0.15708862245082855","-0.15708862245082855","-0.15708862245082855"
"6930","-0.15744690597057343","-0.15744690597057343","-0.15744690597057343"
"6954","-0.15539297461509705","-0.15539297461509705","-0.15539297461509705"
"6978","-0.15745718777179718","-0.15745718777179718","-0.15745718777179718"
"7002","-0.15856775641441345","-0.15856775641441345","-0.15856775641441345"
"7025","-0.1585644632577896","-0.1585644632577896","-0.1585644632577896"
"7049","-0.15789185464382172","-0.15789185464382172","-0.15789185464382172"
